ds,y
2020-01-04,1341.27
2020-01-05,851.78
2020-01-06,193.67
2020-01-08,4510.42
2020-01-09,1557.81
2020-01-10,619.35
2020-01-11,2704.61
2020-01-12,836.83
2020-02-01,2961.27
2020-02-02,333.68
2020-02-06,97.73
2020-02-07,734.8
2020-02-08,1787.12
2020-02-11,1817.74
2020-03-03,1742.33
2020-03-05,1480.62
2020-03-07,3071.0
2020-03-08,2394.0
2020-03-10,1111.41
2020-04-01,1185.08
2020-04-02,1406.62
2020-04-03,1516.05
2020-04-07,1442.31
2020-04-08,4759.68
2020-04-10,710.1
2020-04-11,128.68
2020-05-01,2291.0
2020-05-02,3060.17
2020-05-04,1449.47
2020-05-05,123.76
2020-05-06,1277.86
2020-05-07,1337.12
2020-05-08,3525.53
2020-05-09,2540.84
2020-05-12,884.33
2020-06-04,882.48
2020-06-05,269.55
2020-06-06,1107.84
2020-06-07,3038.28
2020-06-08,959.19
2020-06-09,799.34
2020-06-11,883.92
2020-06-12,1729.41
2020-07-02,3351.53
2020-07-05,3807.0
2020-07-06,232.63
2020-07-09,1188.27
2020-07-10,5663.29
2020-07-11,1402.47
2020-08-02,4251.81
2020-08-06,1095.72
2020-08-07,818.09
2020-08-08,2590.48
2020-08-09,212.78
2020-08-10,2521.45
2020-09-02,1827.14
2020-09-03,2345.42
2020-09-06,1691.28
2020-09-08,981.58
2020-09-11,881.14
2020-10-04,3402.0
2020-10-06,2929.74
2020-10-10,6283.69
2020-10-11,1663.46
2020-10-12,2329.24
2020-11-02,433.13
2020-11-03,2136.64
2020-11-05,825.0
2020-11-06,3678.51
2020-11-07,580.96
2020-11-09,2442.65
2020-11-12,1676.58
2020-12-03,802.96
2020-12-05,1318.17
2020-12-06,1764.02
2020-12-07,1962.57
2020-12-10,1279.36
2020-12-11,3155.88
2020-12-12,1731.87
2021-01-01,101.52
2021-01-04,1343.33
2021-01-10,437.0
2021-01-12,491.06
2021-02-02,1935.09
2021-02-03,6802.84
2021-02-04,1737.5
2021-02-05,267.08
2021-02-06,3880.82
2021-02-08,252.48
2021-02-12,2530.0
2021-03-04,2229.46
2021-03-06,820.0
2021-03-11,265.39
2021-03-12,3381.06
2021-04-03,1898.53
2021-04-05,1158.95
2021-04-07,4224.06
2021-04-11,1537.89
2021-05-02,1900.53
2021-05-03,1439.56
2021-05-09,1600.69
2021-05-11,1854.67
2021-06-01,1790.36
2021-06-05,878.08
2021-06-06,3539.67
2021-06-07,4282.0
2021-06-08,134.99
2021-06-09,1489.18
2021-06-11,698.59
2021-07-03,2752.99
2021-07-05,3963.51
2021-07-07,1010.78
2021-07-08,2873.51
2021-07-10,408.35
2021-07-11,1693.41
2021-08-01,348.27
2021-08-02,2124.57
2021-08-03,663.83
2021-08-04,3219.45
2021-08-08,1233.47
2021-08-10,4203.0
2021-08-12,1628.82
2021-09-02,2251.05
2021-09-03,4746.18
2021-09-04,1221.9
2021-09-06,1580.56
2021-09-07,3382.88
2021-09-08,382.75
2021-09-09,5797.96
2021-09-12,4972.77
2021-10-01,2944.06
2021-10-03,228.75
2021-10-05,1604.63
2021-10-07,4965.69
2021-10-09,866.91
2021-10-11,259.09
2021-11-01,518.1
2021-11-02,1468.51
