description,category,amount
Tata Power Mumbai Bill,Utilities & Bills,1304.4
IndiGo Airlines,Travel,5729.73
Duolingo Premium,Education,7119.47
eye clinic glasses,Healthcare,2904.48
food delivery online,Food & Dining,1109.89
skill development course,Education,7756.97
Excitel Broadband,Utilities & Bills,156.41
Tata Power Mumbai Bill,Utilities & Bills,1312.53
Spotify Premium India,Entertainment,940.12
mess fee online,Food & Dining,809.97
TNEB Power Bill,Utilities & Bills,1098.43
Country Delight Milk,Groceries,1422.59
cash withdrawal ATM,Transfers & ATM,10731.31
Tata CLiQ,Shopping,3673.65
OLA*RIDE*48696,Transport,66.45
electronics purchase,Shopping,1716.78
H&M India Online,Shopping,4584.92
AIRTEL*51078,Utilities & Bills,1532.33
IMPS Transfer*55033,Transfers & ATM,3687.88
holiday inn payment,Travel,8558.01
Faasos Online,Food & Dining,1177.37
PharmEasy Order,Healthcare,987.28
Dunzo Quick Commerce,Food & Dining,1050.87
Hathway Internet,Utilities & Bills,2169.14
Ludo King Premium,Entertainment,539.1
fantasy sports entry,Entertainment,988.63
Delhi Metro DMRC,Transport,702.4
khaana order,Food & Dining,215.58
Dish TV Recharge,Utilities & Bills,2388.18
phonepe send,Transfers & ATM,8925.45
paytm transfer,Transfers & ATM,7186.07
diagnostic center fee,Healthcare,1822.61
NEET coaching fee,Education,6592.54
gadget buy,Shopping,2496.43
NEFT*21537,Transfers & ATM,9594.28
DMART*24984,Groceries,1561.98
ZOMATO*ORDER97538,Food & Dining,995.16
SWGY*74032,Food & Dining,361.26
Vogo Scooter,Transport,212.95
language learning app,Education,1781.54
Hathway Internet,Utilities & Bills,1694.49
kirana store upi,Groceries,2080.37
Reliance Digital,Shopping,601.68
Columbia Asia,Healthcare,1405.96
Max Hospital,Healthcare,2653.66
EatFit Health,Food & Dining,335.25
Manipal Hospital,Healthcare,1131.11
gym membership fee,Healthcare,248.98
UBER*TRIP*73201,Transport,218.18
Subway India,Food & Dining,314.65
Biryani By Kilo,Food & Dining,1060.96
ZOMATO*ORDER80702,Food & Dining,138.34
travel insurance,Travel,4005.42
GPay/Send/15611,Transfers & ATM,6379.86
Dream11 contest,Entertainment,856.05
